protocol_id,dataset,window_id,window_index,start_cycle_effective,end_cycle_effective,center_cycle_effective,start_cycle_actual,end_cycle_actual,center_cycle_actual,cycle_effective,cycle_actual,effective_configuration_count,directed_configuration_support,rate_divergence_configuration_support,abrupt_configuration_support,combined_change_score_q50,change_configuration_support,guard_configuration_fraction,stop_boundary_configuration_fraction,change_trigger
A_Exp1_to_Exp2,Exp2,280,280,1401.0,1420.0,1410.5,2830.760319573901,2862.378495339547,2846.569407456724,1410.5,2846.569407456724,16,0.0,0.0,0.0,1.1017211421294058,0.0,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,281,281,1406.0,1425.0,1415.5,2839.0808921438083,2870.699067909454,2854.889980026631,1415.5,2854.889980026631,16,0.0,0.0,0.0,1.1360367970217657,0.0,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,282,282,1411.0,1430.0,1420.5,2847.401464713715,2879.019640479361,2863.210552596538,1420.5,2863.210552596538,16,0.0,0.0,0.0,0.886754294944443,0.0,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,283,283,1416.0,1435.0,1425.5,2855.722037283622,2887.3402130492677,2871.531125166445,1425.5,2871.531125166445,16,0.0,0.0625,0.0,1.3158650695226157,0.0625,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,284,284,1421.0,1440.0,1430.5,2864.0426098535286,2895.6607856191745,2879.8516977363515,1430.5,2879.8516977363515,16,0.0,0.0625,0.0,1.3624848321688954,0.0625,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,285,285,1426.0,1445.0,1435.5,2872.3631824234353,2903.981358189081,2888.1722703062583,1435.5,2888.1722703062583,16,0.0,0.0625,0.0,1.3413666259666508,0.0625,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,286,286,1431.0,1450.0,1440.5,2880.683754993342,2912.301930758988,2896.492842876165,1440.5,2896.492842876165,16,0.0,0.0,0.0,0.7707751087464666,0.0,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,287,287,1436.0,1455.0,1445.5,2889.0043275632493,2920.6225033288947,2904.8134154460718,1445.5,2904.8134154460718,16,0.0,0.0,0.0,0.6737634098815561,0.0,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,288,288,1441.0,1460.0,1450.5,2897.324900133156,2928.9430758988015,2913.133988015979,1450.5,2913.133988015979,16,0.0,0.0,0.0,0.554720112371968,0.0,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,289,289,1446.0,1465.0,1455.5,2905.6454727030628,2937.2636484687087,2921.4545605858857,1455.5,2921.4545605858857,16,0.0,0.0,0.0,0.5899972042787502,0.0,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,290,290,1451.0,1470.0,1460.5,2913.9660452729695,2945.5842210386154,2929.7751331557924,1460.5,2929.7751331557924,16,0.0,0.0,0.0,0.46684686145237864,0.0,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,291,291,1456.0,1475.0,1465.5,2922.2866178428762,2953.904793608522,2938.095705725699,1465.5,2938.095705725699,16,0.0,0.0,0.0,0.43080526709438666,0.0,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,292,292,1461.0,1480.0,1470.5,2930.607190412783,2962.225366178429,2946.416278295606,1470.5,2946.416278295606,16,0.0,0.0,0.0,0.4218456017633404,0.0,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,293,293,1466.0,1485.0,1475.5,2938.9277629826897,2970.5459387483356,2954.7368508655127,1475.5,2954.7368508655127,16,0.0,0.0,0.0,0.38275807864762523,0.0,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,294,294,1471.0,1490.0,1480.5,2947.2483355525965,2978.8665113182424,2963.0574234354194,1480.5,2963.0574234354194,16,0.0,0.0,0.0,0.28122055045758676,0.0,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,295,295,1476.0,1495.0,1485.5,2955.568908122503,2987.187083888149,2971.377996005326,1485.5,2971.377996005326,16,0.0,0.0,0.0,0.38174918093171806,0.0,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,296,296,1481.0,1500.0,1490.5,2963.88948069241,2995.507656458056,2979.698568575233,1490.5,2979.698568575233,16,0.0,0.0,0.0,0.3524537357146882,0.0,0.0,0.0,0
A_Exp1_to_Exp2,Exp2,297,297,1486.0,1505.0,1495.5,2972.2100532623167,3003.828229027963,2988.0191411451397,1495.5,2988.0191411451397,16,0.0,0.1875,0.0,3.5761234170771052,0.1875,1.0,1.0,0
A_Exp1_to_Exp2,Exp2,298,298,1491.0,1510.0,1500.5,2980.530625832224,3012.14880159787,2996.3397137150464,1500.5,2996.3397137150464,16,0.0,0.875,0.0,11.784761657341036,0.875,1.0,1.0,1
A_Exp1_to_Exp2,Exp2,299,299,1496.0,1515.0,1505.5,2988.8511984021306,3020.4693741677766,3004.660286284953,1505.5,3004.660286284953,16,0.0,1.0,0.0,19.761465470133313,1.0,1.0,1.0,1
A_Exp1_to_Exp2,Exp2,300,300,1501.0,1520.0,1510.5,2997.1717709720374,3028.789946737683,3012.98085885486,1510.5,3012.98085885486,16,0.0,1.0,0.0,30.830962042692065,1.0,1.0,1.0,1
A_Exp1_to_Exp2,Exp2,301,301,1506.0,1525.0,1515.5,3005.4923435419437,3037.1105193075896,3021.3014314247666,1515.5,3021.3014314247666,16,0.0,1.0,0.0,31.410462724898768,1.0,1.0,0.0,1
A_Exp1_to_Exp2,Exp2,302,302,1511.0,1530.0,1520.5,3013.812916111851,3045.4310918774963,3029.6220039946734,1520.5,3029.6220039946734,16,0.0,1.0,0.0,31.400063893522507,1.0,1.0,0.0,1
A_Exp1_to_Exp2,Exp2,303,303,1516.0,1535.0,1525.5,3022.1334886817576,3053.751664447403,3037.9425765645806,1525.5,3037.9425765645806,16,0.0,1.0,0.0,31.368509788151595,1.0,1.0,0.0,1
A_Exp1_to_Exp2,Exp2,304,304,1521.0,1540.0,1530.5,3030.4540612516644,3062.0722370173103,3046.2631491344873,1530.5,3046.2631491344873,16,0.0,1.0,0.0,32.29583689816174,1.0,1.0,0.0,1
A_Exp1_to_Exp2,Exp2,305,305,1526.0,1545.0,1535.5,3038.774633821571,3070.392809587217,3054.583721704394,1535.5,3054.583721704394,16,0.0,1.0,0.0,32.22587220070734,1.0,1.0,0.0,1
A_Exp1_to_Exp2,Exp2,306,306,1531.0,1550.0,1540.5,3047.095206391478,3078.7133821571238,3062.904294274301,1540.5,3062.904294274301,16,0.0,1.0,0.0,32.361326743947004,1.0,1.0,0.0,1
A_Exp1_to_Exp2,Exp2,307,307,1536.0,1555.0,1545.5,3055.4157789613846,3087.0339547270305,3071.2248668442076,1545.5,3071.2248668442076,16,0.0,1.0,0.0,31.079814453281244,1.0,1.0,0.0,1
A_Exp1_to_Exp2,Exp2,308,308,1541.0,1560.0,1550.5,3063.7363515312913,3095.3545272969372,3079.5454394141143,1550.5,3079.5454394141143,16,0.0,1.0,0.0,29.14009012220962,1.0,1.0,0.0,1
