source_dataset,change_threshold,candidate_min_windows,min_dwell_windows,selection_score,Stage5_AUROC,Stage5_AUPRC,Stage45_AUROC,Stage45_AUPRC,Ordinal_MAE,ordinal_macro_F1,risk_stage_spearman,Stage5_recall,Stage1to2_false_high_rate,ECE,Brier,mean_posterior_entropy,mean_confidence,exact_Stage5_recall,LateState_recall,stable_stage5_detection_cycle,lead_lag_cycles,Stage1to2_false_alarm_rate,mean_boundary_MAE,missed_transition_count,extra_transition_count,early_false_transition_count
Exp1,3.0,40,100,0.46434715425603823,0.8956972402693459,0.5437412524782139,0.2742461473122194,0.4738872893354127,0.6654398233345602,0.2760638711613003,0.789080986571751,1.0,0.0,0.10009571488378562,0.09166274511223794,0.9800083249808897,0.6464950438941065,1.0,1.0,33020.5,9285.0,0.0,6875.0,1,0,3
Exp1,3.0,40,200,0.4793181683926525,0.9238211677968308,0.6503520896209442,0.19942209683290862,0.4533369208637172,0.6407802723592197,0.3056768354564022,0.791624894656563,1.0,0.0,0.10293681986597923,0.10100776560548812,0.9616763200994286,0.6568053870699272,1.0,1.0,32825.5,9480.0,0.0,6773.333333333333,1,0,3
Exp2,2.0,15,50,0.42245747003771483,0.8231153685964182,0.33227294649947375,0.30689935064935064,0.3320130518475684,0.8147699757869249,0.2762074603647973,0.9201870278452706,1.0,0.07386363636363637,0.22008606487687732,0.14855991622350692,1.365539042745043,0.4753324297269153,0.0,1.0,,,0.0,4515.0,0,0,4
Exp2,2.0,15,100,0.638963532361154,0.999271137026239,0.9972224311932909,0.9965503246753247,0.9966532602317937,0.5714285714285714,0.4427641200828984,0.9107656632402458,1.0,0.02556818181818182,0.1687621541356841,0.09999764709064572,1.5392098676337893,0.33060474712584004,1.0,1.0,,,0.0,3700.0,0,0,4
Exp2,2.0,15,200,0.6637729078828051,0.9993127863390254,0.99736975986976,0.5145698051948052,0.40972805845136434,0.5012106537530266,0.45137309226569194,0.865944551394515,1.0,0.0,0.08502281178556605,0.13280461863819407,1.5073844886145598,0.36588907669617043,0.0,1.0,,,0.0,410.0,1,0,0
Exp2,2.0,25,50,0.519049285093883,0.9876301541024574,0.8341314843890266,0.7724025974025974,0.5739140924408156,0.6888619854721549,0.29244212013125237,0.9153014715806376,1.0,0.03409090909090909,0.16288477645894997,0.13851169821747134,1.3130712272731322,0.5150472776873237,0.0,1.0,,,0.0,4401.25,0,0,4
Exp2,2.0,25,100,0.615643386563254,0.9093502707205331,0.47812935382622346,0.9886363636363636,0.942334861192772,0.5205811138014528,0.4519873822477625,0.7942848631342423,1.0,0.0,0.15253361953475456,0.12866164498912352,1.3479234164840834,0.4853211027047522,0.0,1.0,,,0.0,1512.5,0,0,3
Exp2,2.0,25,200,0.680392078434466,0.9993127863390254,0.99736975986976,0.9974025974025974,0.9974263481616422,0.8547215496368039,0.2611065599192609,0.7072150673868748,1.0,0.0,0.1005448261462471,0.1271878783061514,1.4564984024450343,0.4221008126591522,0.0,1.0,,,0.0,528.3333333333334,1,0,0
Exp2,2.0,40,50,0.7188058408952659,1.0,1.0,1.0,1.0,0.288135593220339,0.691040600531189,0.8270745463711212,1.0,0.0,0.17532981810152812,0.05455311865944948,1.3053856435823266,0.5066916935730317,1.0,1.0,,,0.0,2277.5,0,0,4
Exp2,2.0,40,100,0.6458525800926004,0.9993127863390254,0.99736975986976,0.9974025974025974,0.9974263481616422,0.5907990314769975,0.4027974654265333,0.72039988576852,0.9071428571428571,0.0,0.1612667241936661,0.14260862401757263,1.3052400821843813,0.5183422523729062,0.0,0.9071428571428571,,,0.0,2248.3333333333335,1,0,2
