direction,source_dataset,target_dataset,source_exp2_variant,target_exp2_variant,exp2_variant,seed,source_model_state_sha256,event_id,dataset,setting,start_cycle,peak_cycle,end_cycle,peak_score,adapter_frozen_fraction,event_status,fast_score,slow_score,residual_persistent,start_actual_cycle,peak_actual_cycle,end_actual_cycle
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3404,455199c18ec34ddd5525f6fa3de2bd510a80c4ed689a40daed41375cb7f580d8,5,Exp2,V35_SlowResidual_CalibrationOnly,9910.5,9930.5,10010.5,2.3502346023559517,1.0,unmatched_candidate_event,36.08933530453341,4.205977418947208,33.73849855370903,17009.166666666668,17042.5,17175.833333333332
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3404,455199c18ec34ddd5525f6fa3de2bd510a80c4ed689a40daed41375cb7f580d8,6,Exp2,V35_SlowResidual_CalibrationOnly,10210.5,10230.5,10310.5,2.1277207402726006,1.0,unmatched_candidate_event,35.09691856639427,3.8164954420606274,38.965766041950886,17509.166666666668,17542.5,17675.833333333332
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3404,455199c18ec34ddd5525f6fa3de2bd510a80c4ed689a40daed41375cb7f580d8,7,Exp2,V35_SlowResidual_CalibrationOnly,10510.5,10530.5,10610.5,2.651436995931141,1.0,unmatched_candidate_event,38.45076168790466,4.791876756087287,43.06694998735543,18009.166666666668,18042.5,18175.833333333332
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3404,455199c18ec34ddd5525f6fa3de2bd510a80c4ed689a40daed41375cb7f580d8,8,Exp2,V35_SlowResidual_CalibrationOnly,10810.5,10850.5,10905.5,1.3386863879036766,1.0,unmatched_candidate_event,21.98562116981437,2.2155613525056563,26.23051339740181,18509.166666666668,18575.833333333332,18667.5
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3404,455199c18ec34ddd5525f6fa3de2bd510a80c4ed689a40daed41375cb7f580d8,9,Exp2,V35_SlowResidual_CalibrationOnly,11120.5,11130.5,11180.5,1.5536151803483405,1.0,unmatched_candidate_event,14.711684127418245,2.592420096586116,18.475757886171444,19025.833333333332,19042.5,19125.833333333332
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3404,455199c18ec34ddd5525f6fa3de2bd510a80c4ed689a40daed41375cb7f580d8,10,Exp2,V35_SlowResidual_CalibrationOnly,11415.5,11430.5,11440.5,1.160797267858526,1.0,unmatched_candidate_event,10.466717315419606,1.8213991516914787,20.088175173378616,19517.5,19542.5,19559.166666666668
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3404,455199c18ec34ddd5525f6fa3de2bd510a80c4ed689a40daed41375cb7f580d8,11,Exp2,V35_SlowResidual_CalibrationOnly,11745.5,11750.5,11770.5,0.8500354724664874,1.0,unmatched_candidate_event,6.086289822133077,1.1899922763386144,16.800219772881224,20067.640918580375,20075.991649269312,20109.394572025052
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3404,455199c18ec34ddd5525f6fa3de2bd510a80c4ed689a40daed41375cb7f580d8,1,Exp2,V35_SlowResidual_OnlineAdaptation,960.5,965.5,985.5,0.6573061026890646,1.0,unmatched_candidate_event,9.77870106518876,0.8896246806302808,14.628374221045334,2097.717876165113,2106.03844873502,2139.320739014647
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3404,455199c18ec34ddd5525f6fa3de2bd510a80c4ed689a40daed41375cb7f580d8,2,Exp2,V35_SlowResidual_OnlineAdaptation,1515.5,1540.5,1590.5,1.0787833967228209,1.0,unmatched_candidate_event,20.83579786141503,1.7239777522125792,24.797406746231644,3021.301431424767,3062.904294274301,3146.1100199733687
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3405,b95e0083d913b842438d9db9ea3d92766811f7e14c4eca536285f60bcb121a1b,1,Exp2,V35_SlowResidual_CalibrationOnly,6915.5,6920.5,7005.5,1.525651804503083,1.0,unmatched_candidate_event,29.977095475245985,2.6154868441746224,24.97572963301041,12017.5,12025.833333333334,12167.5
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3405,b95e0083d913b842438d9db9ea3d92766811f7e14c4eca536285f60bcb121a1b,2,Exp2,V35_SlowResidual_CalibrationOnly,8715.5,8715.5,8735.5,1.062598610585678,1.0,unmatched_candidate_event,14.590466016678292,1.6423987044210202,13.769059143076838,15017.5,15017.5,15050.833333333334
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3405,b95e0083d913b842438d9db9ea3d92766811f7e14c4eca536285f60bcb121a1b,3,Exp2,V35_SlowResidual_CalibrationOnly,9615.5,9615.5,9705.5,1.627913647200867,1.0,unmatched_candidate_event,33.26899970534143,2.8332306013627937,18.32901648858773,16517.5,16517.5,16667.5
Exp1_to_Exp2,Exp1,Exp2,Raw,Raw,Raw,3405,b95e0083d913b842438d9db9ea3d92766811f7e14c4eca536285f60bcb121a1b,4,Exp2,V35_SlowResidual_CalibrationOnly,9920.5,9930.5,10010.5,1.64156339274472,1.0,unmatched_candidate_event,25.40130683530976,2.756338610383392,31.15345861217482,17025.833333333332,17042.5,17175.833333333332
