direction,source_dataset,target_dataset,seed,event_id,dataset,setting,start_cycle,peak_cycle,end_cycle,peak_score,adapter_frozen_fraction,event_status,fast_score,slow_score,residual_persistent,start_actual_cycle,peak_actual_cycle,end_actual_cycle
Exp1_to_Exp2,Exp1,Exp2,3402,6,Exp2,V35_SlowOnly_CalibrationOnly,3895.5,3910.5,3980.5,5.439537643023526,1.0,unmatched_candidate_event,12.1647829401049,10.512155083076546,3.902289766579105,6984.166666666667,7009.166666666667,7125.833333333333
Exp1_to_Exp2,Exp1,Exp2,3402,7,Exp2,V35_SlowOnly_CalibrationOnly,4225.5,4230.5,4245.5,1.4807569785292387,1.0,unmatched_candidate_event,1.9852010702552023,2.5497627463689327,0.7718632446896933,7534.166666666667,7542.5,7567.5
Exp1_to_Exp2,Exp1,Exp2,3402,8,Exp2,V35_SlowOnly_CalibrationOnly,4535.5,4550.5,4730.5,3.324639395300701,1.0,unmatched_candidate_event,4.016057522000033,6.246001840480476,1.6373308821509518,8050.833333333334,8075.833333333334,8375.833333333334
Exp1_to_Exp2,Exp1,Exp2,3402,9,Exp2,V35_SlowOnly_CalibrationOnly,4865.5,6260.5,6700.5,5.891557225290933,1.0,unmatched_candidate_event,0.0,11.314973818667728,0.0,8600.833333333334,10925.833333333334,11659.166666666666
Exp1_to_Exp2,Exp1,Exp2,3402,10,Exp2,V35_SlowOnly_CalibrationOnly,6905.5,7120.5,7575.5,5.24989239716543,1.0,unmatched_candidate_event,1.409846081351877,10.184948500871922,0.0003869039931937502,12000.833333333334,12359.166666666666,13117.5
Exp1_to_Exp2,Exp1,Exp2,3402,11,Exp2,V35_SlowOnly_CalibrationOnly,7795.5,7830.5,7835.5,2.1378351077722906,1.0,unmatched_candidate_event,6.149890307635412,3.8387857229088547,8.89839869420919,13484.166666666666,13542.5,13550.833333333334
Exp1_to_Exp2,Exp1,Exp2,3402,12,Exp2,V35_SlowOnly_CalibrationOnly,8445.5,10530.5,12340.5,13.830805042869988,1.0,unmatched_candidate_event,33.883539781884195,27.36333655215729,49.72125561990317,14567.5,18042.5,21061.377870563676
Exp1_to_Exp2,Exp1,Exp2,3402,13,Exp2,V35_SlowOnly_CalibrationOnly,12605.5,12625.5,12800.5,3.7305281367463206,1.0,unmatched_candidate_event,10.760671841810945,7.095638614209957,14.987159550031675,21503.966597077244,21537.369519832984,21829.64509394572
Exp1_to_Exp2,Exp1,Exp2,3402,14,Exp2,V35_SlowOnly_CalibrationOnly,12930.5,13190.5,13910.5,5.832384063344103,1.0,unmatched_candidate_event,1.8473691942052375,11.365484711609088,2.405134498437088,22046.764091858036,22481.00208768267,23683.507306889354
Exp1_to_Exp2,Exp1,Exp2,3402,1,Exp2,V35_SlowOnly_OnlineAdaptation,650.5,980.5,1190.5,1.107286673868883,0.8165137614678899,unmatched_candidate_event,0.9848164819324868,1.817435199191547,9.303194951913099,1581.8423768308921,2131.0001664447404,2480.4642143808255
Exp1_to_Exp2,Exp1,Exp2,3402,2,Exp2,V35_SlowOnly_OnlineAdaptation,1505.5,1530.5,2440.5,3.035446731442464,1.0,unmatched_candidate_event,10.818759329305852,5.714235928047205,31.95818672312094,3004.6602862849536,3046.2631491344873,4560.607356857523
Exp1_to_Exp2,Exp1,Exp2,3402,3,Exp2,V35_SlowOnly_OnlineAdaptation,2710.5,3310.5,3650.5,3.326841409509112,1.0,unmatched_candidate_event,1.1496401050027047,6.206145903477529,0.0,5009.91827563249,6009.166666666667,6575.833333333333
