dataset,direction_id,window_id,window_index,center_cycle,stage_label,stage,Hx,Hy,AWR_M3_equal,AWR_M3_weighted,alpha_x,alpha_y
Exp1,Exp1_to_Exp2,6478,6478,32400.5,Stage 4,4,-0.4554765807164827,4.144373651822748,1.8444485355531324,3.224403605314902,0.2,0.8
Exp1,Exp1_to_Exp2,6479,6479,32405.5,Stage 4,4,-0.403398380271658,4.204852019428589,1.9007268195784657,3.28320193948854,0.2,0.8
Exp1,Exp1_to_Exp2,6480,6480,32410.5,Stage 4,4,-0.3995724785304624,4.2115048208304176,1.9059661711499776,3.2892893609582416,0.2,0.8
Exp1,Exp1_to_Exp2,6481,6481,32415.5,Stage 4,4,-0.4348276067669814,4.284248308844996,1.9247103510390071,3.3404331257226003,0.2,0.8
Exp1,Exp1_to_Exp2,6482,6482,32420.5,Stage 4,4,-0.5239883961303594,4.112825306647331,1.7944184552584856,3.185462566091793,0.2,0.8
Exp1,Exp1_to_Exp2,6483,6483,32425.5,Stage 4,4,-0.5327356003144352,4.0782526696716905,1.7727585346786277,3.1560550156744656,0.2,0.8
Exp1,Exp1_to_Exp2,6484,6484,32430.5,Stage 4,4,-0.5479578961913997,4.105691577216848,1.7788668405127241,3.1749616825351983,0.2,0.8
Exp1,Exp1_to_Exp2,6485,6485,32435.5,Stage 4,4,-0.5059095016867596,4.080805178403062,1.7874478383581511,3.1634622423850978,0.2,0.8
Exp1,Exp1_to_Exp2,6486,6486,32440.5,Stage 4,4,-0.5044602206336173,4.097936010432029,1.796737894899206,3.1774567642189,0.2,0.8
Exp1,Exp1_to_Exp2,6487,6487,32445.5,Stage 4,4,-0.4980606760959212,4.069309613476062,1.7856244686900702,3.1558355555616653,0.2,0.8
Exp1,Exp1_to_Exp2,6488,6488,32450.5,Stage 4,4,-0.33356704542157245,4.07293282788608,1.8696828912322538,3.19163285322455,0.2,0.8
Exp1,Exp1_to_Exp2,6489,6489,32455.5,Stage 4,4,-0.16297116457283425,4.051897340872238,1.944463088149702,3.208923639783224,0.2,0.8
Exp1,Exp1_to_Exp2,6490,6490,32460.5,Stage 4,4,0.007752733865643069,4.050735346454706,2.0292440401601746,3.2421388239368936,0.2,0.8
Exp1,Exp1_to_Exp2,6491,6491,32465.5,Stage 4,4,0.03762771907240048,4.043758450901086,2.040693084986743,3.2425323045353487,0.2,0.8
Exp1,Exp1_to_Exp2,6492,6492,32470.5,Stage 4,4,-0.08804114241409541,4.038251164153849,1.975105010869877,3.212992702840261,0.2,0.8
Exp1,Exp1_to_Exp2,6493,6493,32475.5,Stage 4,4,-0.26246610740691045,4.0746309355160255,1.9060824140545576,3.2072115269314385,0.2,0.8
Exp1,Exp1_to_Exp2,6494,6494,32480.5,Stage 4,4,-0.41225674917866295,4.098592506340807,1.843167878581072,3.196422655236913,0.2,0.8
Exp1,Exp1_to_Exp2,6495,6495,32485.5,Stage 4,4,-0.45647772861028824,4.116231430586844,1.8298768509882781,3.2016895987474183,0.2,0.8
Exp1,Exp1_to_Exp2,6496,6496,32490.5,Stage 4,4,-0.4746015191124477,4.093211361216898,1.8093049210522254,3.1796487851510293,0.2,0.8
Exp1,Exp1_to_Exp2,6497,6497,32495.5,Stage 4,4,-0.47395439158529895,4.0684157039709765,1.7972306561928388,3.1599416848597217,0.2,0.8
Exp1,Exp1_to_Exp2,6498,6498,32500.5,Stage 4,4,-0.49346633913021515,4.0641709666429655,1.7853523137563752,3.1526435054883297,0.2,0.8
Exp1,Exp1_to_Exp2,6499,6499,32505.5,Stage 4,4,-0.4558590660591682,4.096615509437404,1.820378221689118,3.18612059433809,0.2,0.8
Exp1,Exp1_to_Exp2,6500,6500,32510.5,Stage 4,4,-0.4909809792613558,4.104007631907214,1.806513326322929,3.1850099096735,0.2,0.8
Exp1,Exp1_to_Exp2,6501,6501,32515.5,Stage 4,4,-0.5087710670994219,4.094446517776035,1.7928377253383065,3.1738030008009437,0.2,0.8
Exp1,Exp1_to_Exp2,6502,6502,32520.5,Stage 4,4,-0.4913102208699236,4.064206249813928,1.7864480144720023,3.1531029556771584,0.2,0.8
Exp1,Exp1_to_Exp2,6503,6503,32525.5,Stage 4,4,-0.5062704261690618,4.001679085826641,1.7477043298287898,3.100089183427501,0.2,0.8
Exp1,Exp1_to_Exp2,6504,6504,32530.5,Stage 4,4,-0.4674233575321465,3.9689229143533034,1.7507497784105785,3.0816536599762134,0.2,0.8
Exp1,Exp1_to_Exp2,6505,6505,32535.5,Stage 4,4,-0.4652649408950641,3.9252167703998078,1.729975914752372,3.0471204281408335,0.2,0.8
Exp1,Exp1_to_Exp2,6506,6506,32540.5,Stage 4,4,-0.380762532115803,4.116454168695148,1.8678458182896724,3.2170108285329575,0.2,0.8
Exp1,Exp1_to_Exp2,6507,6507,32545.5,Stage 4,4,-0.3913757602548986,4.12900287487557,1.8688135573103357,3.2249271478494763,0.2,0.8
Exp1,Exp1_to_Exp2,6508,6508,32550.5,Stage 4,4,-0.3771753474926808,4.161191448419375,1.8920080504633472,3.253518089236964,0.2,0.8
Exp1,Exp1_to_Exp2,6509,6509,32555.5,Stage 4,4,-0.34980852454149325,4.194501031930601,1.922346253694554,3.2856391206361826,0.2,0.8
Exp1,Exp1_to_Exp2,6510,6510,32560.5,Stage 4,4,-0.43440377777252703,3.9752847240315967,1.770440473129535,3.093347023670772,0.2,0.8
Exp1,Exp1_to_Exp2,6511,6511,32565.5,Stage 4,4,-0.43707996308436736,4.015969442243333,1.7894447395794826,3.1253595611777927,0.2,0.8
Exp1,Exp1_to_Exp2,6512,6512,32570.5,Stage 4,4,-0.2754293521950287,4.164852137076748,1.9447113924408597,3.276795839222393,0.2,0.8
Exp1,Exp1_to_Exp2,6513,6513,32575.5,Stage 4,4,-0.1302904566132268,4.132455673762793,2.0010826085747833,3.2799064476875897,0.2,0.8
Exp1,Exp1_to_Exp2,6514,6514,32580.5,Stage 4,4,0.5798829186349461,4.075995366850983,2.3279391427429648,3.376772877207776,0.2,0.8
Exp1,Exp1_to_Exp2,6515,6515,32585.5,Stage 4,4,0.6385635924685861,4.069956261666016,2.354259927067301,3.3836777278265306,0.2,0.8
Exp1,Exp1_to_Exp2,6516,6516,32590.5,Stage 4,4,0.4947167211420074,3.9649808694700033,2.2298487953060055,3.2709280398044043,0.2,0.8
Exp1,Exp1_to_Exp2,6517,6517,32595.5,Stage 4,4,0.35870992905824084,3.9071636251430517,2.1329367771006464,3.1974728859260897,0.2,0.8
Exp1,Exp1_to_Exp2,6518,6518,32600.5,Stage 4,4,-0.3147139112383601,3.907722085925237,1.7965040873434384,3.0632348864925176,0.2,0.8
