dataset,entry_cycle,window_index,center_cycle,state_uncertainty,uncertainty_feature_config_dispersion,uncertainty_ood,uncertainty_target_pair_evidence,uncertainty_prior_adapted_disagreement,uncertainty_adapter_boundary,uncertainty_local_volatility_or_gate,direction
Exp2,0.0,124,630.5,0.255649325521349,0.00018885238243540085,0.4248748306894411,1.0,0.0,0.0,0.10883227005621732,Exp1_to_Exp2
Exp2,0.0,125,635.5,0.2555870277853114,0.00017940367484110348,0.42487773205794066,1.0,0.0,0.0,0.1084650309790866,Exp1_to_Exp2
Exp2,0.0,126,640.5,0.2554077334619219,0.00017066570250464576,0.42411249008350116,1.0,0.0,0.0,0.10816324498552565,Exp1_to_Exp2
Exp2,0.0,127,645.5,0.25519602627008886,0.00016282417976564212,0.4231197398900183,1.0,0.0,0.0,0.10789359355074932,Exp1_to_Exp2
Exp2,0.0,128,650.5,0.2548586781050148,0.00015932771651224088,0.42137386524807985,1.0,0.0,0.0,0.10761887566549659,Exp1_to_Exp2
Exp2,0.0,129,655.5,0.25465214504374983,0.00016060588609727503,0.4204284238388243,1.0,0.0,0.0,0.10732384053757746,Exp1_to_Exp2
Exp2,0.0,130,660.5,0.2546577750522749,0.0001648058886145611,0.420844057056339,1.0,0.0,0.0,0.10693778736869557,Exp1_to_Exp2
Exp2,0.0,131,665.5,0.25483337129828165,0.00016613881517220776,0.4223327100977913,1.0,0.0,0.0,0.10650137887672646,Exp1_to_Exp2
Exp2,0.0,132,670.5,0.2547031799191544,0.00016766185016664983,0.4219989726408129,1.0,0.0,0.0,0.10605244502394713,Exp1_to_Exp2
Exp2,0.0,133,675.5,0.25445093406163316,0.0001613281695905164,0.42093522909754233,1.0,0.0,0.0,0.1056090471026663,Exp1_to_Exp2
Exp2,0.0,134,680.5,0.2541692617292714,0.00015259923937591517,0.41966174700554904,1.0,0.0,0.0,0.10520122413070368,Exp1_to_Exp2
Exp2,0.0,135,685.5,0.2539503737410122,0.00015270101457846163,0.418751377060428,1.0,0.0,0.0,0.10479816437106697,Exp1_to_Exp2
Exp2,0.0,136,690.5,0.253831778928779,0.00014741223313177122,0.4184867499509214,1.0,0.0,0.0,0.10435651138862086,Exp1_to_Exp2
Exp2,0.0,137,695.5,0.2537026881759848,0.00014506281627768157,0.4182083588435277,1.0,0.0,0.0,0.10386270739610319,Exp1_to_Exp2
Exp2,0.0,138,700.5,0.25332591144244926,0.00014085162050028936,0.41648827589096826,1.0,0.0,0.0,0.10332634114322678,Exp1_to_Exp2
Exp2,0.0,139,705.5,0.2530521688569924,0.00013893487406167466,0.41547529437939335,1.0,0.0,0.0,0.10269878388849922,Exp1_to_Exp2
Exp2,0.0,140,710.5,0.25283210273316353,0.0001434244874123323,0.4148189495504979,1.0,0.0,0.0,0.1020302423610711,Exp1_to_Exp2
Exp2,0.0,141,715.5,0.2524162921142871,0.0001443252045650517,0.41299845483526265,1.0,0.0,0.0,0.10135497264589492,Exp1_to_Exp2
Exp2,0.0,142,720.5,0.2522917698322503,0.00014915098596051196,0.4129301161032243,1.0,0.0,0.0,0.1006713519043172,Exp1_to_Exp2
Exp2,0.0,143,725.5,0.25234722130620774,0.00014576660571130625,0.41390408814012836,1.0,0.0,0.0,0.10003347309140669,Exp1_to_Exp2
Exp2,0.0,144,730.5,0.25231994192478174,0.00014172560206523912,0.4144042608262468,1.0,0.0,0.0,0.09937366512037855,Exp1_to_Exp2
Exp2,0.0,145,735.5,0.2524534547972152,0.00014473253422898335,0.41588210814889837,1.0,0.0,0.0,0.09869388810016375,Exp1_to_Exp2
Exp2,0.0,146,740.5,0.2525286328238639,0.00014363410247372245,0.41704843771985745,1.0,0.0,0.0,0.09797972512085233,Exp1_to_Exp2
Exp2,0.0,147,745.5,0.25248385299199716,0.00014008629583575676,0.4175821048454319,1.0,0.0,0.0,0.09718092681071537,Exp1_to_Exp2
Exp2,0.0,148,750.5,0.25277718809162425,0.00014638935335265077,0.42021898219971876,1.0,0.0,0.0,0.09629775699667423,Exp1_to_Exp2
Exp2,0.0,149,755.5,0.2529761312178213,0.00014471824744124602,0.42239983882246934,1.0,0.0,0.0,0.09531223023701745,Exp1_to_Exp2
Exp2,0.0,150,760.5,0.25283743533835956,0.00015023331854832923,0.42264177732972164,1.0,0.0,0.0,0.09423260138188735,Exp1_to_Exp2
Exp2,0.0,151,765.5,0.2523339788499739,0.00015793064613104372,0.42070049690846845,1.0,0.0,0.0,0.09314544554524386,Exp1_to_Exp2
Exp2,0.0,152,770.5,0.2517171507011037,0.00015707489408250703,0.4181201780899726,1.0,0.0,0.0,0.09202565122256703,Exp1_to_Exp2
Exp2,0.0,153,775.5,0.25112762662350235,0.00014943834834758364,0.4157311453978789,1.0,0.0,0.0,0.09088517599478761,Exp1_to_Exp2
Exp2,0.0,154,780.5,0.250922721320306,0.0001470506531543416,0.41569133511348877,1.0,0.0,0.0,0.08969794215519303,Exp1_to_Exp2
Exp2,0.0,155,785.5,0.2508586740299354,0.00013986604910095355,0.41659462580276585,1.0,0.0,0.0,0.08841755232774548,Exp1_to_Exp2
Exp2,0.0,156,790.5,0.2506690296528158,0.00014840928953700134,0.41683564133703865,1.0,0.0,0.0,0.08703012729031918,Exp1_to_Exp2
