direction,source_dataset,target_dataset,seed,event_id,dataset,setting,start_cycle,peak_cycle,end_cycle,peak_score,fast_score,slow_score,residual_persistent,adapter_frozen_fraction,event_status,emit_cycle,event_rank_score,residual_event_peak,residual_high_count,residual_high_fraction,slow_excess_area,event_duration,peak_slow_high,start_actual_cycle,peak_actual_cycle,end_actual_cycle
Exp1_to_Exp2,Exp1,Exp2,3403,3,Exp2,V351_EventGate_CurrentAdapt,9910.5,10540.5,11165.5,3.3449671920152695,,,,0.9656488549618321,unmatched_candidate_event,11275.5,3.3449671920152695,6.786486262778752,53,0.20229007633587787,95.2412436468766,252,1,17009.166666666668,18059.166666666668,19100.833333333332
Exp1_to_Exp2,Exp1,Exp2,3403,1,Exp2,V351_EventGate_WarningFreeze,3005.5,3015.5,3640.5,4.709455695646676,,,,0.9637681159420289,unmatched_candidate_event,3750.5,4.709455695646676,8.913240321959874,19,0.13768115942028986,196.27207656628974,128,1,5500.833333333333,5517.5,6559.166666666667
Exp1_to_Exp2,Exp1,Exp2,3403,2,Exp2,V351_EventGate_WarningFreeze,6905.5,6930.5,7795.5,5.904106982626772,,,,0.9735449735449735,unmatched_candidate_event,7905.5,5.904106982626772,10.12438477451806,37,0.19576719576719576,267.57176500072495,179,1,12000.833333333334,12042.5,13484.166666666666
Exp1_to_Exp2,Exp1,Exp2,3403,3,Exp2,V351_EventGate_WarningFreeze,9160.5,9310.5,9330.5,1.604044627091941,,,,0.9111111111111111,unmatched_candidate_event,9440.5,1.604044627091941,5.789805665082723,8,0.17777777777777778,2.4858327057499627,35,1,15759.166666666666,16009.166666666666,16042.5
Exp1_to_Exp2,Exp1,Exp2,3403,4,Exp2,V351_EventGate_WarningFreeze,9485.5,9540.5,9600.5,1.3143091839995844,,,,1.0,unmatched_candidate_event,9710.5,1.3143091839995844,6.849265931534979,3,0.08823529411764706,2.696682952606415,24,1,16300.833333333334,16392.5,16492.5
Exp1_to_Exp2,Exp1,Exp2,3403,5,Exp2,V351_EventGate_WarningFreeze,9730.5,10540.5,12015.5,7.000653192985288,,,,1.0,unmatched_candidate_event,12125.5,7.000653192985288,11.742318804050969,112,0.23931623931623933,568.0100602377512,458,1,16709.166666666668,18059.166666666668,20518.58037578288
Exp1_to_Exp2,Exp1,Exp2,3403,1,Exp2,V351_EventGate_WarningFreeze_Update5,3005.5,3290.5,3645.5,7.037034481173171,,,,0.9712230215827338,unmatched_candidate_event,3755.5,7.037034481173171,8.188852070825478,19,0.1366906474820144,333.09902004616094,129,1,5500.833333333333,5975.833333333333,6567.5
Exp1_to_Exp2,Exp1,Exp2,3403,2,Exp2,V351_EventGate_WarningFreeze_Update5,6915.5,6930.5,7515.5,2.8467251137059204,,,,0.9694656488549618,unmatched_candidate_event,7625.5,2.8467251137059204,7.454417629124901,19,0.1450381679389313,55.561999443778866,121,1,12017.5,12042.5,13017.5
Exp1_to_Exp2,Exp1,Exp2,3403,3,Exp2,V351_EventGate_WarningFreeze_Update5,8700.5,10530.5,11290.5,8.282188505672934,,,,0.9905482041587902,unmatched_candidate_event,11400.5,8.282188505672934,9.15380107519348,121,0.22873345935727787,982.4045357450561,519,1,14992.5,18042.5,19309.166666666668
Exp1_to_Exp2,Exp1,Exp2,3403,4,Exp2,V351_EventGate_WarningFreeze_Update5,11400.5,11430.5,12050.5,5.076778896553117,,,,1.0,unmatched_candidate_event,12160.5,5.076778896553117,4.79394731220227,10,0.07092198581560284,110.61947428886737,131,1,19492.5,19542.5,20577.035490605427
Exp1_to_Exp2,Exp1,Exp2,3403,1,Exp2,V351_ResidualRerank_WarningFreeze_Update5,2190.5,2225.5,2265.5,1.5112565609093458,,,,0.8846153846153846,unmatched_candidate_event,2375.5,0.32836632685011735,1.8095397103206412,0,0.0,2.5146665936079615,16,1,4144.578728362184,4202.822736351531,4269.387316910786
Exp1_to_Exp2,Exp1,Exp2,3403,2,Exp2,V351_ResidualRerank_WarningFreeze_Update5,3005.5,3290.5,3645.5,7.037034481173171,,,,0.9712230215827338,unmatched_candidate_event,3755.5,5.592515247593207,8.188852070825478,19,0.1366906474820144,333.09902004616094,129,1,5500.833333333333,5975.833333333333,6567.5
Exp1_to_Exp2,Exp1,Exp2,3403,3,Exp2,V351_ResidualRerank_WarningFreeze_Update5,3900.5,3910.5,3910.5,1.3793525979464805,,,,0.6923076923076923,unmatched_candidate_event,4020.5,0.21242520387327168,0.6691002690252398,0,0.0,0.521273405743202,3,1,6992.5,7009.166666666667,7009.166666666667
Exp1_to_Exp2,Exp1,Exp2,3403,4,Exp2,V351_ResidualRerank_WarningFreeze_Update5,5140.5,5260.5,5300.5,1.5773652748169256,,,,1.0,unmatched_candidate_event,5410.5,0.38647465321751895,1.7337458619139943,0,0.0,4.456557571847689,33,1,9059.166666666666,9259.166666666666,9325.833333333334
