direction,dataset,entry_cycle,window_index,center_cycle,activity_score,progression_increment,relative_progression_score,cumulative_progression,progression_uncertainty,prediction_ensemble_uncertainty,adapter_support_uncertainty,primitive_match_uncertainty,private_state_support_uncertainty,change_point_uncertainty,entry_prior_uncertainty,ood_uncertainty,initial_progression_prior_mean,initial_progression_prior_std,initial_match_quality,trend_evidence,persistent_prediction_anomaly_evidence,bocpd_confirmed_transition_evidence,persistent_novel_segment_evidence,state_id_input_count,cycle_used_as_model_feature,rolling_z_used
Exp1_to_Exp2,Exp2,0.0,71,365.5,1.084701241713377,0.4422612727930067,0.9999892689818901,11.442372121394218,1.5603245131847547,0.023025529814720246,0.4453125,1.0,1.0,0.05780299525980407,0.35,0.33156900112154375,0.5,0.35,0.0,0.5753966871344693,0.9947070033646312,0.0,0.0,0,False,False
Exp1_to_Exp2,Exp2,0.0,72,370.5,0.976573012082959,0.3806312541285545,0.9999926661018481,11.823003375522772,1.5558152177608295,0.022472297104060165,0.4375,1.0,1.0,0.055871325939329676,0.35,0.3209799567213279,0.5,0.35,0.0,0.36699717231743756,0.9629398701639837,0.0,0.0,0,False,False
Exp1_to_Exp2,Exp2,0.0,73,375.5,1.103771500694627,0.3260249909316337,0.9999947064865613,12.149028366454406,1.5524820134174104,0.022209372849899444,0.4296875,1.0,1.0,0.053805235552559304,0.35,0.3157226547352507,0.5,0.35,0.0,0.16749840667963226,0.947167964205752,0.0,0.0,0,False,False
Exp1_to_Exp2,Exp2,0.0,74,380.5,1.0834951147298877,0.3390557439018635,0.9999962286748152,12.488084110356269,1.5495766511965836,0.022068938592154915,0.421875,1.0,1.0,0.05204880100945722,0.35,0.3122709825960652,0.5,0.35,0.0,0.23204743826161905,0.9368129477881957,0.0,0.0,0,False,False
Exp1_to_Exp2,Exp2,0.0,75,385.5,1.124924783019248,0.36248589755529,0.9999973753683824,12.850570007911559,1.5463219791922471,0.021873532891814387,0.4140625,1.0,1.0,0.05032987225953021,0.35,0.30684256866339216,0.5,0.35,0.0,0.3453103430329483,0.9205277059901764,0.0,0.0,0,False,False
Exp1_to_Exp2,Exp2,0.0,76,390.5,1.0381005100176366,0.3334130240273818,0.9999981195191301,13.18398303193894,1.5439071918907312,0.021733787289463263,0.40625,1.0,1.0,0.04898452683779651,0.35,0.30534982117639564,0.5,0.35,0.0,0.23439273987450282,0.9160494635291869,0.0,0.0,0,False,False
Exp1_to_Exp2,Exp2,0.0,77,395.5,0.9059037533542673,0.2427370783538019,0.9999985248046117,13.426720110292742,1.521580826906559,0.018124717804286938,0.3984375,1.0,1.0,0.04763399755210469,0.35,0.17708265947042334,0.5,0.35,0.0,0.33345073932168356,0.53124797841127,0.0,0.0,0,False,False
Exp1_to_Exp2,Exp2,0.0,78,400.5,0.6873192928292676,0.07297944247834301,0.9999986286289508,13.499699552771085,1.5112336660485908,0.016558890692270355,0.390625,1.0,1.0,0.046586412011982214,0.35,0.07933985208301182,0.5,0.35,0.0,0.29191776991337204,0.0,0.0,0.0,0,False,False
Exp1_to_Exp2,Exp2,0.0,79,405.5,0.7021688991793006,0.06390391809322955,0.9999987135234986,13.563603470864315,1.5148193690188747,0.01769355551075115,0.3828125,1.0,1.0,0.04570631656591882,0.35,0.15241450494574296,0.5,0.35,0.0,0.2556156723729182,0.0,0.0,0.0,0,False,False
Exp1_to_Exp2,Exp2,0.0,80,410.5,1.0431667100433557,0.04461074799089066,0.9999987696528823,13.608214218855206,1.5243114907821913,0.020056582199031586,0.375,1.0,1.0,0.04448402516800595,0.35,0.24087221912452303,0.5,0.35,0.0,0.17844299196356264,0.0,0.0,0.0,0,False,False
Exp1_to_Exp2,Exp2,0.0,81,415.5,0.7894362212513756,0.17681824283798522,0.9999989690526918,13.785032461693191,1.5159807434100006,0.01933002800713401,0.3671875,1.0,1.0,0.043576602666194154,0.35,0.19646471426442802,0.5,0.35,0.0,0.0,0.5893941427932841,0.0,0.0,0,False,False
Exp1_to_Exp2,Exp2,0.0,82,420.5,0.5998044683907902,0.12663927032038078,0.999999091682393,13.911671732013572,1.5078656942548943,0.018818267334544628,0.359375,1.0,1.0,0.043070238843662484,0.35,0.14071030035597865,0.5,0.35,0.0,0.0,0.42213090106793594,0.0,0.0,0,False,False
Exp1_to_Exp2,Exp2,0.0,83,425.5,0.834791981633529,0.0,0.999999091682393,13.911671732013572,1.5009211763455321,0.017818476370916356,0.3515625,1.0,1.0,0.042095448955293116,0.35,0.06766580579049546,0.5,0.35,0.0,0.0,0.0,0.0,0.0,0,False,False
Exp1_to_Exp2,Exp2,0.0,84,430.5,0.7250306080372507,0.0,0.999999091682393,13.911671732013572,1.4975517094455673,0.01703323861316481,0.34375,1.0,1.0,0.04131499419929005,0.35,0.0,0.5,0.35,0.0,0.0,0.0,0.0,0.0,0,False,False
