direction,source_dataset,target_dataset,seed,event_id,dataset,setting,start_cycle,peak_cycle,end_cycle,peak_score,short_score,medium_score,long_score,source_probability,adapter_frozen_fraction,event_status,start_actual_cycle,peak_actual_cycle,end_actual_cycle
Exp1_to_Exp2,Exp1,Exp2,3402,12,Exp2,OnlineAdaptation,10820.5,10830.5,10870.5,1.6173408414190806,0.7682116624041853,1.0616341416881394,0.6230858211990538,0.477374404668808,1.0,unmatched_candidate_event,18525.833333333332,18542.5,18609.166666666668
Exp1_to_Exp2,Exp1,Exp2,3402,13,Exp2,OnlineAdaptation,11110.5,11130.5,11130.5,1.186418665863986,0.5399366038114473,0.6533916259880806,0.8011461511486507,0.4770142138004303,1.0,unmatched_candidate_event,19009.166666666668,19042.5,19042.5
Exp1_to_Exp2,Exp1,Exp2,3402,14,Exp2,OnlineAdaptation,13210.5,13230.5,13245.5,1.1449724337550158,0.32075268639274684,0.6016978470709442,1.0563883990146494,0.4847346246242523,1.0,unmatched_candidate_event,22514.405010438415,22547.807933194155,22572.86012526096
Exp1_to_Exp2,Exp1,Exp2,3403,1,Exp2,DirectTransfer,650.5,10530.5,14090.5,1416946.681410184,28.197249449513645,29.52048044124928,27.3936307933802,0.0794035941362381,1.0,unmatched_candidate_event,1581.8423768308921,18042.5,23984.133611691024
Exp1_to_Exp2,Exp1,Exp2,3403,1,Exp2,CalibrationOnly,680.5,690.5,725.5,0.9525468440775198,0.46135576290053454,0.40716630513925933,0.694784529888125,0.3953249752521515,0.7,unmatched_candidate_event,1631.7658122503328,1648.4069573901465,1706.650965379494
Exp1_to_Exp2,Exp1,Exp2,3403,2,Exp2,CalibrationOnly,1195.5,1210.5,1215.5,1.6020235509648613,0.4450326493375791,0.8413423024340703,0.47793926199088,0.4061615467071533,1.0,unmatched_candidate_event,2488.7847869507323,2513.746504660453,2522.0670772303592
Exp1_to_Exp2,Exp1,Exp2,3403,3,Exp2,CalibrationOnly,1495.5,1530.5,1540.5,1.663742347529201,0.5880890382442554,0.3632996691215755,0.9575271739626912,0.41556301712989807,1.0,unmatched_candidate_event,2988.0191411451397,3046.2631491344873,3062.904294274301
Exp1_to_Exp2,Exp1,Exp2,3403,4,Exp2,CalibrationOnly,2115.5,3025.5,3675.5,9.545222234026092,2.3137386144426895,2.152980446033905,1.9558677527116528,0.3534725606441498,1.0,unmatched_candidate_event,4019.770139813582,5534.166666666667,6617.5
Exp1_to_Exp2,Exp1,Exp2,3403,5,Exp2,CalibrationOnly,3860.5,3910.5,4275.5,4.440493307718965,0.8046440671760039,1.4621960657756856,0.824888010991988,0.30521130561828613,1.0,unmatched_candidate_event,6925.833333333333,7009.166666666667,7617.5
Exp1_to_Exp2,Exp1,Exp2,3403,6,Exp2,CalibrationOnly,4450.5,6350.5,6775.5,6.160869823186636,0.33799012843366166,0.8171108851902705,2.6413580858293466,0.40943074226379395,0.9785407725321889,unmatched_candidate_event,7909.166666666666,11075.833333333334,11784.166666666666
Exp1_to_Exp2,Exp1,Exp2,3403,7,Exp2,CalibrationOnly,6900.5,6950.5,8130.5,4.0280619416143235,0.9522276545883176,1.055238416212439,1.0992271876419668,0.384427934885025,0.9473684210526315,unmatched_candidate_event,11992.5,12075.833333333334,14042.5
Exp1_to_Exp2,Exp1,Exp2,3403,8,Exp2,CalibrationOnly,8420.5,8450.5,8620.5,1.6617514730587566,0.25099607556639997,0.6468989991176208,0.6818133751692987,0.4046326279640198,0.7317073170731707,unmatched_candidate_event,14525.833333333334,14575.833333333334,14859.166666666668
Exp1_to_Exp2,Exp1,Exp2,3403,9,Exp2,CalibrationOnly,8695.5,9910.5,12510.5,20.47688784289167,4.791130501209798,2.704135120947944,5.381914910364078,0.22994346916675568,0.9960732984293194,unmatched_candidate_event,14984.166666666668,17009.166666666668,21345.302713987476
Exp1_to_Exp2,Exp1,Exp2,3403,10,Exp2,CalibrationOnly,12575.5,12625.5,13940.5,18.459050727114562,3.8283989566133427,3.9745400915809874,4.034731267895647,0.19485177099704742,1.0,unmatched_candidate_event,21453.862212943633,21537.369519832984,23733.611691022965
Exp1_to_Exp2,Exp1,Exp2,3403,1,Exp2,OnlineAdaptation,905.5,1210.5,1210.5,1.5094332268369821,0.39287411745434553,0.7058997233078763,0.5672148574478937,0.40815407037734985,0.8870967741935484,unmatched_candidate_event,2006.1915778961384,2513.746504660453,2513.746504660453
Exp1_to_Exp2,Exp1,Exp2,3403,2,Exp2,OnlineAdaptation,1530.5,1570.5,1585.5,1.0669617187927243,0.5504431832333709,0.5783833521670639,0.44912761203519463,0.40286925435066223,0.8333333333333334,unmatched_candidate_event,3046.2631491344873,3112.8277296937417,3137.789447403462
Exp1_to_Exp2,Exp1,Exp2,3403,3,Exp2,OnlineAdaptation,3000.5,3015.5,3690.5,4.857610926944187,1.3403672837282374,1.3154163754243848,1.3570091251610097,0.35743117332458496,0.9928057553956835,unmatched_candidate_event,5492.511484687084,5517.5,6642.5
Exp1_to_Exp2,Exp1,Exp2,3403,4,Exp2,OnlineAdaptation,3900.5,3910.5,3910.5,0.9054267793378553,0.3391597080120004,0.59821176563086,0.4211502665330354,0.32358768582344055,1.0,unmatched_candidate_event,6992.5,7009.166666666667,7009.166666666667
Exp1_to_Exp2,Exp1,Exp2,3403,5,Exp2,OnlineAdaptation,4140.5,4250.5,4270.5,0.9774103906186438,0.19618598598390577,0.45484166376717305,0.7384287407916155,0.3571356534957886,0.8148148148148148,unmatched_candidate_event,7392.5,7575.833333333334,7609.166666666666
Exp1_to_Exp2,Exp1,Exp2,3403,6,Exp2,OnlineAdaptation,4495.5,4545.5,4710.5,1.5260412961554979,0.28620639175977497,0.4332226156734353,1.0243258770333148,0.3807808458805084,1.0,unmatched_candidate_event,7984.166666666666,8067.5,8342.5
Exp1_to_Exp2,Exp1,Exp2,3403,7,Exp2,OnlineAdaptation,4905.5,4960.5,5000.5,0.7600485179817701,0.07980535640288748,0.3148476546900786,0.7829482435302173,0.39678603410720825,1.0,unmatched_candidate_event,8667.5,8759.166666666666,8825.833333333334
Exp1_to_Exp2,Exp1,Exp2,3403,8,Exp2,OnlineAdaptation,5745.5,5750.5,5935.5,0.9850477359786235,0.33436196650646594,0.3607437273335723,0.6338429895463078,0.3917653560638428,0.8461538461538461,unmatched_candidate_event,10067.5,10075.833333333332,10384.166666666668
Exp1_to_Exp2,Exp1,Exp2,3403,9,Exp2,OnlineAdaptation,6015.5,6020.5,6075.5,0.9072742667549702,0.20538417921204027,0.4676829038329691,0.6304406139902805,0.4115227460861206,0.46153846153846156,unmatched_candidate_event,10517.5,10525.833333333334,10617.5
Exp1_to_Exp2,Exp1,Exp2,3403,10,Exp2,OnlineAdaptation,6350.5,6350.5,6370.5,0.6669870748355844,0.2886727390252913,0.3438585401292316,0.5318390091698535,0.406683087348938,0.4,unmatched_candidate_event,11075.833333333334,11075.833333333334,11109.166666666666
Exp1_to_Exp2,Exp1,Exp2,3403,11,Exp2,OnlineAdaptation,6905.5,6930.5,7830.5,3.411234469690347,0.9345811094734529,1.0366095787102867,1.0505150979110123,0.39729684591293335,0.9731182795698925,unmatched_candidate_event,12000.833333333334,12042.5,13542.5
