dataset,window_id,window_index,start_cycle,end_cycle,center_cycle,forecast_mae,persistence_mae,forecast_activity,shared_predictor_observed_updates,causal_warmup,shared_z0,shared_z1,shared_z2,shared_z3,shared_z4,shared_z5
Exp1,99,99,496.0,515.0,505.5,0.18445465215667234,0.0936075216561667,0.14445374302805708,196,0,0.08908766932267542,0.16110454810733102,-0.2813133021001454,-0.2281829973618753,0.1332710139620893,0.537164384720374
Exp1,100,100,501.0,520.0,510.5,0.11341005330710827,0.05207507945062976,0.0544134813234123,198,0,0.05395344401206089,-0.1875613699421765,-0.25487690127917495,-0.20472332134135046,0.1638099438981901,0.5499984342112774
Exp1,101,101,506.0,525.0,515.5,0.06348705476865814,0.1029585473215623,0.1507134514303656,200,0,-0.00020528846621151176,-0.1265050300273013,-0.1825805466556276,-0.22018465912614948,0.2837602222160626,0.4056710973729868
Exp1,102,102,511.0,530.0,520.5,0.1120355133104714,0.12473367089251543,0.1356790990223452,202,0,-0.025634697778152693,-0.08264971193247128,-0.09202063541359831,-0.23167072513490844,0.33051064352996073,-0.33954507001946704
Exp1,103,103,516.0,535.0,525.5,0.09601937419308854,0.11749347566676903,0.18167224950656544,204,0,-0.03197445332492241,0.07777604512121916,-0.09262032101478446,-0.20422874795973045,0.27581994511926583,0.5024974483904826
Exp1,104,104,521.0,540.0,530.5,0.06905523891408329,0.0761873266214098,0.1006802851764217,206,0,-0.01752638849125486,-0.13244082563217321,-0.13137470082349928,-0.13952924630444202,0.18224214199445032,0.6367259721137055
Exp1,105,105,526.0,545.0,535.5,0.12113107519907788,0.06449628777302172,0.09915881297146364,208,0,-0.019892201204651946,-0.1776767394347234,-0.20898684920185023,-0.09514319855799269,0.11517691818262754,0.6848381712505935
Exp1,106,106,531.0,550.0,540.5,0.1120779260357855,0.024851605111076924,0.026382045204144028,210,0,-0.02609395157074061,0.17046171971285692,-0.1980446879252875,-0.08154302330712453,0.1575348657081315,0.37902993472965024
Exp1,107,107,536.0,555.0,545.5,0.15108037913500844,0.10483096729898317,0.203312646476945,212,0,-0.061723195354194176,0.07712081729721756,-0.16370248794003278,0.11443389811372487,0.16794393035809335,-0.20251216183541937
Exp1,108,108,541.0,560.0,550.5,0.14253620604443176,0.10065909244313233,0.19734613594805459,214,0,-0.06552911050984545,0.03350109393303245,-0.06610059385149601,0.17431990113657325,0.19403397956656532,0.23487643920022516
Exp1,109,109,546.0,565.0,555.5,0.14190874503368406,0.07923267027377894,0.11869922957707163,216,0,-0.06236518161980506,-0.11668397900135571,0.00679530014720716,0.21815371945631917,0.2501712255716608,0.12294853075065389
Exp1,110,110,551.0,570.0,560.5,0.1164029823192598,0.053229943606385416,0.056394622619040546,218,0,-0.05215682273029923,0.14539497312143063,0.005196952985618564,-0.24076468942652204,0.24728285327671012,-0.14348542957963079
Exp1,111,111,556.0,575.0,565.5,0.055475136813792986,0.041169342974228106,0.04596960888560491,220,0,-0.050908088148559155,0.052202238164095166,-0.08151656829914589,-0.2233073274901884,0.27420679050945973,0.25967345752579385
