direction,source_dataset,target_dataset,entry_cycle,prefix_fraction,adapter,source_model_frozen_hash,update_index,pair_earlier_cycle,pair_later_cycle,adapter_parameter_norm,adapter_step_norm,objective_loss,l2,numeric_abort
Exp1_to_Exp2,Exp1,Exp2,0.0,0.2,Unbounded_WeakL2,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,425,1925.5,2635.5,1.2158768791018129,0.003081443447001652,0.029712277789742916,0.0375,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.2,Unbounded_WeakL2,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,450,1740.5,2760.5,1.2205082828002216,0.003672298462921467,0.028099279334039905,0.0375,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.2,Unbounded_WeakL2,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,462,1250.5,2820.5,1.1947651515537596,0.003084294199567453,0.02810256098468028,0.0375,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.4,Bounded_Baseline,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,0,10.5,510.5,0.08,0.08,1.8076822080688837,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.4,Bounded_Baseline,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,25,75.5,635.5,0.5477375741746892,0.0025941771261995907,0.03069363504848695,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.4,Bounded_Baseline,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,50,185.5,760.5,0.55,0.005762510585515713,0.035367794071810066,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.4,Bounded_Baseline,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,75,290.5,885.5,0.5466848477057793,0.00442904337090858,0.03312872874455813,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.4,Bounded_Baseline,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,100,170.5,1010.5,0.55,0.06892917085268496,0.17778986961289908,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.4,Bounded_Baseline,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,125,325.5,1135.5,0.5497436792254266,0.01878206521604617,0.05092383847116378,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.4,Bounded_Baseline,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,150,180.5,1260.5,0.5500000000000002,0.08,0.15004095521569746,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.4,Bounded_Baseline,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,175,95.5,1385.5,0.55,0.02212982564514058,0.0495095003120674,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.4,Bounded_Baseline,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,200,275.5,1510.5,0.55,0.07999999999999999,0.40961265275600056,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.4,Bounded_Baseline,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,225,1090.5,1635.5,0.5216734978511256,0.012387685167280539,0.043801137579622465,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.4,Bounded_Baseline,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,250,1055.5,1760.5,0.5197248217875086,0.006893189572578213,0.0346847056568549,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.4,Bounded_Baseline,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,275,820.5,1885.5,0.5499999999999999,0.07853981340354134,0.279774236419461,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.4,Bounded_Baseline,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,300,85.5,2010.5,0.55,0.08,0.745860667077555,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.4,Bounded_Baseline,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,325,1480.5,2135.5,0.47201650236872467,0.08,1.1083472541025283,0.15,0
