direction,source_dataset,target_dataset,entry_cycle,prefix_fraction,model,future_window_count,adapter_aborted,adapter_abort_reason,adapter_parameter_norm,source_model_frozen_hash,future_time_pair_auc,future_score_total_variation,future_score_saturation_ratio,future_score_reversal_count,prior_adapted_disagreement,future_target_local_spearman,future_ood_ratio_mean,future_ood_fraction,common_future_window_count,common_future_prefix_score_std
Exp1_to_Exp2,Exp1,Exp2,3000.0,0.8,Unbounded_WeakL2,444,0,COMPLETED,1.9035112451964016,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,0.23546511627906977,3.621109185625479,0.43243243243243246,179,0.44000485953676405,0.915393553189987,2.529618309801993,1.0,222,0.5528571646288286
Exp1_to_Exp2,Exp1,Exp2,3000.0,0.8,Source_Static,444,0,NOT_APPLICABLE,0.0,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,0.25,0.9430065164186601,0.02027027027027027,185,0.0,0.8151988039476308,2.529618309801993,1.0,222,0.0
Exp1_to_Exp2,Exp1,Exp2,3000.0,0.8,Target_Local,444,0,NOT_APPLICABLE,0.0,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,0.18604651162790697,1.7589080527318675,0.0,169,0.08125329970578192,1.0,2.529618309801993,1.0,222,0.3799445524662268
Exp1_to_Exp2,Exp1,Exp2,3000.0,0.8,Elapsed_Time_Since_Entry,444,0,NOT_APPLICABLE,0.0,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,1.0,0.1997204814931698,0.0518018018018018,0,0.07000101069751656,-0.6886614262828531,2.529618309801993,1.0,222,0.0
Exp1_to_Exp2,Exp1,Exp2,6000.0,0.2,Bounded_Baseline,1296,0,COMPLETED,0.3809544066072216,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,0.37,5.200932651975542,0.3595679012345679,401,0.06988242108033853,0.716831954765648,2.392747650090712,0.9907407407407407,162,0.32571359552368445
Exp1_to_Exp2,Exp1,Exp2,6000.0,0.2,Unbounded_L2,1296,0,COMPLETED,0.6643630924098466,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,0.2175,8.730718681316912,0.345679012345679,395,0.18757346753077203,0.8033612420659454,2.392747650090712,0.9907407407407407,162,0.13582271397583415
Exp1_to_Exp2,Exp1,Exp2,6000.0,0.2,Unbounded_WeakL2,1296,0,COMPLETED,0.9791970938334118,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,0.1625,12.493392468425132,0.3410493827160494,395,0.32293597754363473,0.8744930082632474,2.392747650090712,0.9907407407407407,162,0.3985842027973127
Exp1_to_Exp2,Exp1,Exp2,6000.0,0.2,Source_Static,1296,0,NOT_APPLICABLE,0.0,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,0.49125,7.3003085711027715,0.1257716049382716,421,0.0,0.38973378048166024,2.392747650090712,0.9907407407407407,162,0.0
Exp1_to_Exp2,Exp1,Exp2,6000.0,0.2,Target_Local,1296,0,NOT_APPLICABLE,0.0,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,0.13375,6.431622254318809,0.3248456790123457,336,0.6982576557709989,1.0,2.392747650090712,0.9907407407407407,162,0.42125115472975
Exp1_to_Exp2,Exp1,Exp2,6000.0,0.2,Elapsed_Time_Since_Entry,1296,0,NOT_APPLICABLE,0.0,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,1.0,0.8003213645633768,0.013117283950617283,0,0.3354764008123199,-0.8199427481231646,2.392747650090712,0.9907407407407407,162,0.0
Exp1_to_Exp2,Exp1,Exp2,6000.0,0.4,Bounded_Baseline,972,0,COMPLETED,0.49708686160509397,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,0.5225,1.5428215680324153,0.7242798353909465,318,0.13229383680364104,0.5639504416606318,2.3355614962897495,0.9876543209876543,162,0.32571359552368445
Exp1_to_Exp2,Exp1,Exp2,6000.0,0.4,Unbounded_L2,972,0,COMPLETED,0.650198386986911,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,0.51375,0.7549088450872348,0.831275720164609,308,0.1496083223215931,0.6104908432628131,2.3355614962897495,0.9876543209876543,162,0.13582271397583415
Exp1_to_Exp2,Exp1,Exp2,6000.0,0.4,Unbounded_WeakL2,972,0,COMPLETED,1.2257062625687738,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,0.475,0.035985696340425366,0.9886831275720165,272,0.16353194910611565,0.7463634702556233,2.3355614962897495,0.9876543209876543,162,0.3985842027973127
Exp1_to_Exp2,Exp1,Exp2,6000.0,0.4,Source_Static,972,0,NOT_APPLICABLE,0.0,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,0.4975,6.814034969163275,0.11008230452674897,344,0.0,0.48319601719765204,2.3355614962897495,0.9876543209876543,162,0.0
Exp1_to_Exp2,Exp1,Exp2,6000.0,0.4,Target_Local,972,0,NOT_APPLICABLE,0.0,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,0.5975,11.48916190243958,0.0,310,0.4146943579743706,1.0,2.3355614962897495,0.9876543209876543,162,0.42125115472975
Exp1_to_Exp2,Exp1,Exp2,6000.0,0.4,Elapsed_Time_Since_Entry,972,0,NOT_APPLICABLE,0.0,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,1.0,0.6000865212286015,0.01748971193415638,0,0.2250278746295987,0.5435524334851833,2.3355614962897495,0.9876543209876543,162,0.0
Exp1_to_Exp2,Exp1,Exp2,6000.0,0.6,Bounded_Baseline,648,0,COMPLETED,0.5228256631131591,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,0.6934306569343066,6.091820549640375,0.0,240,0.5556317481356412,0.6495840176845075,2.3136118705865,0.9814814814814815,162,0.32571359552368445
Exp1_to_Exp2,Exp1,Exp2,6000.0,0.6,Unbounded_L2,648,0,COMPLETED,1.129796803834174,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,0.6076642335766423,1.411692314814584,0.7669753086419753,234,0.07089859025765921,0.4816593444288412,2.3136118705865,0.9814814814814815,162,0.13582271397583415
Exp1_to_Exp2,Exp1,Exp2,6000.0,0.6,Unbounded_WeakL2,648,0,COMPLETED,1.7474931256333175,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,0.7335766423357665,6.52631947545378,0.032407407407407406,216,0.29727500314010247,0.6892175979619984,2.3136118705865,0.9814814814814815,162,0.3985842027973127
Exp1_to_Exp2,Exp1,Exp2,6000.0,0.6,Source_Static,648,0,NOT_APPLICABLE,0.0,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,0.6021897810218978,3.1058381093435945,0.013888888888888888,242,0.0,0.23357471183159495,2.3136118705865,0.9814814814814815,162,0.0
Exp1_to_Exp2,Exp1,Exp2,6000.0,0.6,Target_Local,648,0,NOT_APPLICABLE,0.0,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,0.8321167883211679,3.4783905136061097,0.06481481481481481,228,0.1415545979962427,1.0,2.3136118705865,0.9814814814814815,162,0.42125115472975
